start_date,chlor_a
08/01/2002,0.6703033199999999
09/01/2002,0.619374315
10/01/2002,0.61539054
11/01/2002,0.621956535
12/01/2002,0.46472095
01/01/2003,0.49797949500000005
02/01/2003,0.35872824999999997
03/01/2003,1.33611865
04/01/2003,3.5208218000000002
05/01/2003,3.9073899
06/01/2003,2.23241185
07/01/2003,1.3063026500000001
08/01/2003,0.73592705
09/01/2003,0.6637061
10/01/2003,0.64756155
11/01/2003,1.1771181
12/01/2003,0.88112225
01/01/2004,0.71773792
02/01/2004,0.777063785
03/01/2004,2.1584095999999997
04/01/2004,2.21307305
05/01/2004,2.646381
06/01/2004,1.22992945
07/01/2004,0.94678098
08/01/2004,0.6491025500000001
09/01/2004,0.687929375
10/01/2004,0.72407885
11/01/2004,0.6374246
12/01/2004,0.8107472
01/01/2005,0.6815181
02/01/2005,0.67763315
03/01/2005,1.47569335
04/01/2005,2.203739
05/01/2005,3.1649634
06/01/2005,1.26353465
07/01/2005,1.2926346
08/01/2005,0.6870015
09/01/2005,0.616406055
10/01/2005,0.64032915
12/01/2005,0.609860985
01/01/2006,0.70571125
02/01/2006,0.70494135
03/01/2006,1.99770145
04/01/2006,2.48639
05/01/2006,3.1109606999999997
06/01/2006,1.30852295
07/01/2006,0.8674726500000001
08/01/2006,0.7948384500000001
09/01/2006,0.576991335
10/01/2006,0.6290746
11/01/2006,0.85919219
12/01/2006,0.9198082000000001
01/01/2007,0.62729002
02/01/2007,0.48563541
03/01/2007,2.0989819
04/01/2007,2.46382965
05/01/2007,4.6148845000000005
06/01/2007,2.03340215
07/01/2007,1.5030044
08/01/2007,0.778489065
09/01/2007,0.653583165
10/01/2007,0.648166595
11/01/2007,0.54990286
12/01/2007,1.0280824000000002
01/01/2008,0.655753
02/01/2008,0.64358154
03/01/2008,9.31899
04/01/2008,2.45107985
05/01/2008,1.9525926999999998
06/01/2008,0.892022325
07/01/2008,1.00330255
08/01/2008,0.64804745
09/01/2008,0.66145282
10/01/2008,0.6039117
11/01/2008,0.66630325
12/01/2008,0.816522875
01/01/2009,0.407417685
02/01/2009,0.451838615
03/01/2009,1.5393283
