start_date,chlor_a
08/01/2002,2.4298138
09/01/2002,0.97467355
10/01/2002,0.945068535
11/01/2002,0.704612615
12/01/2002,0.697576
01/01/2003,1.15100675
02/01/2003,0.659467105
03/01/2003,0.50358689
04/01/2003,0.44077578500000003
05/01/2003,0.367102065
06/01/2003,0.645036335
07/01/2003,0.968007735
08/01/2003,0.883433
10/01/2003,0.6750584
11/01/2003,0.65755432
12/01/2003,0.5114141
01/01/2004,0.55616295
02/01/2004,5.2782908
03/01/2004,0.66686915
04/01/2004,0.543015215
05/01/2004,0.80796698
06/01/2004,1.00831698
07/01/2004,1.1892698
08/01/2004,0.9234718
09/01/2004,1.1893668000000002
10/01/2004,8.09188115
11/01/2004,1.10779735
12/01/2004,0.67508164
01/01/2005,1.18102815
02/01/2005,0.808513105
03/01/2005,0.73418302
04/01/2005,0.422826575
05/01/2005,0.4991796
06/01/2005,0.61281508
07/01/2005,0.891106025
08/01/2005,0.6514989499999999
09/01/2005,1.19976645
10/01/2005,1.7072258
11/01/2005,0.952840975
12/01/2005,1.01118485
01/01/2006,0.7477063150000001
02/01/2006,0.5800453999999999
03/01/2006,0.5291636200000001
04/01/2006,0.47465007
05/01/2006,0.584494275
06/01/2006,0.6465075499999999
07/01/2006,0.9112720000000001
08/01/2006,2.2132146500000003
09/01/2006,1.83839495
10/01/2006,0.6468206
11/01/2006,0.9651405500000001
12/01/2006,0.747544575
01/01/2007,4.15601015
02/01/2007,0.5699371
03/01/2007,0.6885537500000001
04/01/2007,0.667638135
05/01/2007,0.465719715
06/01/2007,0.848839175
07/01/2007,1.0408603
08/01/2007,0.9485213
09/01/2007,2.9718263
10/01/2007,3.10171565
11/01/2007,0.652949725
12/01/2007,0.72579965
01/01/2008,0.70744358
02/01/2008,0.67717715
03/01/2008,0.5291449500000001
04/01/2008,0.47339353500000003
05/01/2008,0.43610021
06/01/2008,0.7369441
07/01/2008,0.7101198449999999
08/01/2008,0.85941538
09/01/2008,0.86167455
10/01/2008,1.1413248
11/01/2008,1.0576324700000002
12/01/2008,3.27942625
01/01/2009,0.75653163
02/01/2009,0.57222997
03/01/2009,0.46417573
04/01/2009,0.527633985
05/01/2009,0.516677565
06/01/2009,0.57915268
07/01/2009,0.7223256499999999
08/01/2009,0.925794
10/01/2009,0.839240325
11/01/2009,0.559612615
12/01/2009,0.5544587299999999
01/01/2010,0.50081977
02/01/2010,0.50854082
03/01/2010,0.46531418999999996
04/01/2010,0.40687076
05/01/2010,0.452306255
06/01/2010,0.5754423
